RENGLON,A�O,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_A�O,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_A�O,NAC,POB_MIT_A�O,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
1,1950,Rep�blica Mexicana,0,771494,-28552,742942,488080,17.11,0,31089,45.91,48.76,47.34,13495744,6.72,0,2537,0,-28552,13530829,1259574,27026573,913612,836303,1354382,3463334,6198487,1664854,1146775,1265903,3803433,2123318,427476,932414,851158,1377311,3508333,6187357,1688145,1161992,1293140,3661134,2170111,365423,1846026,1687461,2731693,6971667,12385844,3352999,2308767,2559043,7464567,4293429,792899,5.49,81.72,87.21,18.06,46.61,2.85,-0.11,2.75,0,0,0,-0.11,138.63,120.64,129.85,149.49,6.57
2,1951,Rep�blica Mexicana,0,797550,-33378,764172,511172,17,0,37034,45.53,48.25,46.9,13871508,6.8,0,3656,0,-33378,13908627,1308722,27780135,938932,856386,1386622,3555366,6337070,1710721,1180485,1309697,3887150,2187898,445730,958064,870459,1407806,3598248,6324147,1732318,1194971,1337880,3742914,2236078,381433,1896996,1726845,2794428,7153614,12661217,3443039,2375456,2647577,7630064,4423976,827163,5.6,82.32,87.91,18.4,47.11,2.87,-0.12,2.75,0,0,0,-0.12,139.83,121.47,130.87,152.02,6.66
3,1952,Rep�blica Mexicana,0,867222,-34371,832851,487182,17,0,42009,47.52,50.43,48.98,14270386,6.85,0,7638,0,-34371,14308255,1354404,28578641,966306,877736,1420166,3649012,6480135,1755915,1213485,1356911,3974952,2255859,464211,985879,891419,1439997,3689848,6465975,1775435,1226857,1386094,3829259,2305617,397636,1952185,1769155,2860163,7338860,12946110,3531350,2440342,2743005,7804211,4561476,861847,5.69,83.03,88.72,17.05,47.39,3.03,-0.12,2.91,0,0,0,-0.12,130.46,113.15,122.02,153.13,6.72
4,1953,Rep�blica Mexicana,0,882943,-35106,847837,518724,17,0,45825,46.88,49.87,48.36,14690278,6.91,0,10719,0,-35106,14728717,1401667,29418995,995553,900884,1456017,3745691,6630085,1800920,1245787,1405168,4067546,2328445,483397,1015205,914132,1474419,3783388,6613993,1817545,1257258,1435335,3921535,2379180,415185,2010758,1815016,2930436,7529079,13244078,3618465,2503045,2840503,7989081,4707625,898582,5.79,83.79,89.58,17.63,47.64,3,-0.12,2.88,0,0,0,-0.12,136.19,117.92,127.28,154.67,6.78
5,1954,Rep�blica Mexicana,0,974839,-36906,937933,462766,17,0,49770,50.51,53.48,52,15137087,6.97,0,12864,0,-36906,15174790,1437605,30311877,1025374,926125,1494797,3846467,6788865,1846279,1277607,1456265,4166394,2407526,504012,1045153,939134,1512235,3881069,6771376,1859957,1286856,1488031,4020584,2459436,433984,2070527,1865259,3007032,7727536,13560241,3706236,2564463,2944296,8186978,4866962,937996,5.89,84.57,90.47,15.27,47.43,3.22,-0.12,3.09,0,0,0,-0.12,119.73,103.49,111.81,154.93,6.77
6,1955,Rep�blica Mexicana,0,1021567,-37973,983594,463432,17,0,53644,51.32,54.09,52.71,15619305,7,0,15671,0,-37973,15653331,1484999,31272636,1055858,953835,1537375,3953019,6958346,1892544,1309004,1514533,4271174,2494435,524647,1076253,967049,1554728,3985591,6940948,1903915,1316236,1548989,4125453,2548376,452293,2132111,1920884,3092103,7938610,13899294,3796459,2625240,3063522,8396627,5042811,976940,5.98,85.46,91.44,14.82,47.49,3.27,-0.12,3.15,0,0,0,-0.12,114.46,98.76,106.8,155.93,6.81
7,1956,Rep�blica Mexicana,0,1075718,-41621,1034097,459817,16.95,0,57693,52.21,55.14,53.68,16125998,7.01,0,16072,0,-41621,16155480,1535535,32281478,1088042,983276,1582880,4063933,7135618,1940343,1340739,1580562,4379508,2585586,545290,1109151,996712,1600279,4094232,7118230,1949556,1345989,1617503,4234175,2641752,470702,2197193,1979988,3183159,8158165,14253848,3889899,2686728,3198065,8613683,5227338,1015992,6.06,86.42,92.47,14.24,47.57,3.33,-0.13,3.2,0,0,0,-0.13,109.95,94.7,102.51,156.79,6.85
8,1957,Rep�blica Mexicana,0,1123464,-46239,1077225,465254,16.68,0,61753,52.72,55.48,54.11,16656412,7.01,0,15514,0,-46239,16680736,1588718,33337148,1123204,1013123,1630117,4177250,7319459,1990809,1373815,1652241,4491733,2682535,565930,1145152,1026790,1647593,4205015,7301825,1998116,1377313,1691380,4346917,2741567,489206,2268356,2039913,3277710,8382265,14621284,3988925,2751128,3343621,8838650,5424102,1055136,6.13,87.46,93.59,13.96,47.66,3.37,-0.14,3.23,0,0,0,-0.14,106.32,91.41,99.04,157.2,6.9
9,1958,Rep�blica Mexicana,0,1179375,-51678,1127697,463627,16.39,0,65685,53.56,56.39,54.98,17210686,6.99,0,14007,0,-51678,17228918,1643002,34439604,1161592,1043181,1678981,4293174,7510055,2044646,1408846,1725540,4607474,2788843,586952,1184495,1057147,1696623,4318378,7492180,2050439,1410963,1767175,4463441,2851501,508197,2346087,2100328,3375604,8611552,15002235,4095085,2819809,3492715,9070915,5640344,1095149,6.19,88.57,94.77,13.46,47.71,3.42,-0.15,3.27,0,0,0,-0.15,103.51,88.84,96.35,156.97,6.94
10,1959,Rep�blica Mexicana,0,1233232,-57680,1175552,463238,16.1,0,69155,54.35,57.19,55.77,17789665,6.99,0,11475,0,-57680,17801564,1696470,35591229,1202723,1074894,1730426,4413502,7709721,2102008,1446476,1800543,4727251,2904167,609519,1226647,1089293,1748407,4436290,7691626,2106686,1447572,1845208,4583998,2970426,528512,2429370,2164187,3478833,8849792,15401347,4208694,2894048,3645751,9311249,5874593,1138031,6.27,89.71,95.98,13.02,47.67,3.46,-0.16,3.3,0,0,0,-0.16,101.16,86.67,94.09,156.6,6.97
11,1960,Rep�blica Mexicana,0,1278971,-63913,1215058,468510,16,0,72234,54.83,57.62,56.23,18390799,6.99,0,8321,0,-63913,18395744,1747481,36786543,1246895,1109542,1784522,4538393,7918953,2162075,1487095,1877254,4850442,3027681,633626,1271866,1124542,1803078,4559131,7900812,2166007,1487471,1925052,4708029,3097966,550245,2518761,2234084,3587600,9097524,15819765,4328082,2974566,3802306,9558471,6125647,1183871,6.35,90.84,97.18,12.74,47.5,3.48,-0.17,3.3,0,0,0,-0.17,98.97,84.65,91.98,156,6.99
12,1961,Rep�blica Mexicana,0,1332818,-69221,1263597,462737,16,0,75410,55.91,58.72,57.32,19014199,7.01,0,6189,0,-69221,19011672,1795555,38025871,1294554,1147435,1841914,4669722,8139386,2225042,1530563,1955406,4976565,3158703,660215,1320501,1163159,1861256,4688907,8121402,2228516,1530419,2005718,4835001,3234118,574213,2615055,2310594,3703170,9358629,16260788,4453558,3060982,3961124,9811566,6392821,1234428,6.44,91.92,98.36,12.17,47.22,3.51,-0.18,3.32,0,0,0,-0.18,96.74,82.59,89.84,155,6.99
13,1962,Rep�blica Mexicana,0,1371661,-74234,1297427,469709,16,0,79746,56.24,58.96,57.6,19658429,7.04,0,5512,0,-74234,19647943,1841370,39306372,1343598,1188059,1904186,4809107,8372194,2291943,1575816,2033922,5104645,3298832,689304,1370683,1204527,1924405,4827202,8354446,2295126,1575248,2086476,4963951,3379747,600472,2714281,2392586,3828591,9636309,16726640,4587069,3151064,4120398,10068596,6678579,1289776,6.55,92.93,99.48,11.95,46.85,3.49,-0.19,3.3,0,0,0,-0.19,94.49,80.52,87.67,153.5,6.97
14,1963,Rep�blica Mexicana,0,1408446,-79933,1328513,477731,16,0,86216,56.47,59.11,57.79,20319147,7.09,0,6283,0,-79933,20300199,1886177,40619346,1395241,1231632,1971734,4957159,8617169,2362700,1622598,2111327,5232952,3445908,719598,1424089,1248708,1992671,4974338,8599345,2365563,1621600,2165902,5093136,3532127,628022,2819330,2480340,3964405,9931497,17216514,4728263,3244198,4277229,10326088,6978035,1347620,6.65,93.86,100.51,11.76,46.44,3.47,-0.2,3.27,0,0,0,-0.2,92.31,78.52,85.58,151.53,6.94
15,1964,Rep�blica Mexicana,0,1459575,-86025,1373550,471747,15.84,0,94497,57.31,60.2,58.76,20998292,7.15,0,8472,0,-86025,20972085,1931322,41970377,1452680,1278580,2044167,5115084,8876206,2437401,1671814,2186821,5363338,3595896,752304,1484009,1295936,2065320,5130968,8857278,2439643,1670259,2243224,5223895,3686901,657600,2936689,2574516,4109487,10246052,17733484,4877044,3342073,4430045,10587233,7282797,1409904,6.77,94.69,101.46,11.24,46.02,3.48,-0.2,3.27,0,0,0,-0.2,90.29,76.67,83.65,149.22,6.9
16,1965,Rep�blica Mexicana,0,1496676,-92514,1404162,480521,15.66,0,104162,57.36,60.43,58.9,21695067,7.22,0,11648,0,-92514,21664164,1977197,43359231,1517530,1326800,2119665,5281494,9147858,2516354,1723489,2259969,5496589,3747798,787341,1551026,1344323,2140643,5295496,9126457,2517406,1721086,2318134,5356577,3843543,688862,3068556,2671123,4260308,10576990,18274315,5033760,3444575,4578103,10853166,7591341,1476203,6.89,95.44,102.33,11.08,45.6,3.45,-0.21,3.24,0,0,0,-0.21,88.56,75.06,81.97,146.71,6.87
17,1966,Rep�blica Mexicana,0,1536237,-100715,1435522,488239,15.51,0,114814,57.42,60.79,59.1,22405763,7.29,0,14099,0,-100715,22373315,2024476,44779078,1587731,1377499,2199688,5457718,9432705,2600115,1777926,2330814,5632310,3900182,823233,1622959,1395554,2220523,5469318,9407424,2599181,1774212,2390791,5490573,4000167,720400,3210690,2773053,4420211,10927036,18840129,5199296,3552138,4721605,11122883,7900349,1543633,7,96.08,103.08,10.9,45.21,3.43,-0.22,3.21,0,0,0,-0.22,87.02,73.62,80.48,143.87,6.83
18,1967,Rep�blica Mexicana,0,1586205,-110937,1475268,486967,15.39,0,126326,57.94,61.62,59.77,23132262,7.36,0,15389,0,-110937,23102207,2073172,46234469,1659353,1433805,2287444,5647441,9734706,2690266,1836627,2400197,5772444,4051854,860565,1696400,1452895,2308222,5655900,9703934,2686308,1830981,2462016,5627686,4154986,752493,3355753,2886700,4595666,11303341,19438640,5376574,3667608,4862213,11400130,8206840,1613058,7.1,96.54,103.64,10.53,44.84,3.43,-0.24,3.19,0,0,0,-0.24,85.45,72.16,78.97,140.71,6.79
19,1968,Rep�blica Mexicana,0,1619485,-123283,1496202,503181,15.3,0,138810,57.63,61.41,59.51,23872176,7.43,0,15527,0,-123283,23848022,2122666,47720198,1732252,1497211,2382309,5850096,10052570,2785033,1899935,2468933,5916685,4201157,897810,1771481,1516859,2402487,5853923,10014012,2777270,1891642,2532555,5767746,4306894,783967,3503733,3014070,4784796,11704019,20066582,5562303,3791577,5001488,11684431,8508051,1681777,7.19,96.84,104.03,10.54,44.48,3.39,-0.26,3.14,0,0,0,-0.26,83.71,70.56,77.29,137.75,6.74
20,1969,Rep�blica Mexicana,0,1673614,-137503,1536111,500545,15.24,0,152017,58.07,62.23,60.14,24625234,7.48,0,14514,0,-137503,24611128,2174159,49236362,1806498,1565708,2483441,6065002,10385549,2885060,1967327,2538196,6065635,4346872,934476,1847792,1585336,2502911,6062866,10336918,2873050,1955475,2603438,5911084,4454803,814211,3654290,3151044,4986352,12127868,20722467,5758110,3922802,5141634,11976719,8801675,1748687,7.25,97.01,104.26,10.17,44.16,3.4,-0.28,3.12,0,0,0,-0.28,81.67,68.71,75.35,135.71,6.69
21,1970,Rep�blica Mexicana,0,1697684,-152104,1545580,524901,15.23,0,165368,57.61,62.14,59.85,25388301,7.55,0,13264,0,-152104,25390428,2222585,50778729,1881395,1635010,2591476,6290523,10732385,2993145,2036679,2608002,6221514,4487869,974029,1923876,1654546,2610281,6281294,10671561,2976274,2020539,2674564,6059752,4597553,845802,3805271,3289556,5201757,12571817,21403946,5969419,4057218,5282566,12281266,9085422,1819831,7.32,96.99,104.32,10.34,43.77,3.34,-0.3,3.04,0,0,0,-0.3,83.17,69.85,76.67,134.67,6.62
22,1971,Rep�blica Mexicana,0,1768093,-162743,1605350,492387,15.26,0,177959,59.43,63.81,61.6,26166899,7.62,0,15216,0,-162743,26187339,2260480,52354238,1956579,1705600,2705500,6528699,11095584,3110035,2110135,2679728,6384477,4626046,1014468,1999802,1725343,2723001,6511151,11020977,3087194,2089536,2747621,6215189,4737418,878097,3956381,3430943,5428501,13039850,22116561,6197229,4199671,5427349,12599666,9363464,1892565,7.38,96.81,104.19,9.4,43.18,3.38,-0.31,3.07,0,0,0,-0.31,77.24,64.75,71.15,133.93,6.51
23,1972,Rep�blica Mexicana,0,1804312,-170298,1634014,494337,15.32,0,191538,59.77,64.26,62,26967851,7.69,0,21240,0,-170298,27006102,2298649,53973953,2031408,1778225,2822882,6782737,11478688,3236238,2191581,2754417,6554462,4764001,1053930,2075066,1798137,2838599,6755888,11389231,3206939,2166477,2823785,6377853,4877250,910057,4106474,3576362,5661481,13538625,22867919,6443177,4358058,5578202,12932315,9641251,1963987,7.42,96.48,103.9,9.16,42.59,3.34,-0.32,3.03,0,0,0,-0.32,75.12,62.86,69.14,133.43,6.39
24,1973,Rep�blica Mexicana,0,1833406,-175335,1658071,495686,15.42,0,206500,60.1,64.73,62.39,27781487,7.76,0,31165,0,-175335,27838508,2329092,55619995,2104364,1852178,2942430,7050813,11879536,3370410,2280158,2829875,6731204,4902278,1093204,2148261,1871520,2956389,7013601,11774169,3334837,2249968,2900682,6547357,5017373,941920,4252625,3723698,5898819,14064414,23653705,6705247,4530126,5730557,13278561,9919651,2035124,7.44,95.97,103.42,8.91,41.88,3.3,-0.32,2.98,0,0,0,-0.32,73.23,61.17,67.35,132.64,6.25
25,1974,Rep�blica Mexicana,0,1866253,-176626,1689627,484999,15.57,0,221645,60.58,66.21,63.35,28606863,7.83,0,45019,0,-176626,28687002,2351252,57293865,2175192,1926725,3063688,7332069,12299808,3512474,2375511,2904323,6918332,5042930,1134394,2219222,1945027,3075434,7283333,12177019,3470586,2340179,2976835,6726253,5159565,973981,4394414,3871752,6139122,14615402,24476827,6983060,4715690,5881158,13644585,10202495,2108375,7.46,95.28,102.74,8.47,41.04,3.26,-0.31,2.95,0,0,0,-0.31,71.66,59.75,65.85,131.54,6.07
